date,domestic_ordinary_shares,foreign_ordinary_shares,fgn_bonds,treasury_bills,agency_bonds_(nmrc_&_fmbn),sukuk_bonds,green_bonds,state_govt._securities,corporate_bonds,corporate_infrastructure_bonds,corporate_green_bonds,supranational_bonds,banks,commercial_papers,foreign_money_market_securities,reits,real_estate_properties,private_equity_fund,infrastructure_fund,cash_&_other_assets,other_liabilities,grand_total
2014-08-01,648.00768,56.399269999999994,2120.55519,616.99621,,,,184.40551000000002,86.39415,,,10.20121,518.54299,,1.03127,,202.75732,8.05441,,31.43191,,4505.107220000001
2014-09-01,656.39695,54.55488,2174.11829,589.8615500000001,,,,180.82535000000001,96.26703,,,10.60068,562.95646,,1.00941,,204.67809,8.5176,,23.02916,,4582.73515
2014-10-01,592.5479399999999,54.97775,2285.74658,541.96365,,,,179.53177,91.61741,,,12.147680000000001,561.64121,,0.9923200000000001,,204.32778,9.45247,,19.688560000000003,,4574.93937
2014-11-01,548.61,59.24,2367.79,488.06,,,,174.01,114.65,,,12.26,528.25,,0.74977,,228.16,8.77,,52.23,,4603.389770000001
2014-12-01,543.53574,59.50434,2396.5484100000003,497.77884,,,,172.40189,119.43874000000001,,,12.358979999999999,541.3945799999999,,0.12068000000000001,,213.24692000000002,11.09751,,22.83685,,4611.290249999999
2015-01-01,462.74460999999997,58.806419999999996,2425.9440499999996,532.85148,,,,173.04054000000002,117.57956,,,12.37557,508.42237,,0.33458,,209.95736,11.56392,,15.20236,,4549.77699
2015-02-01,489.49802,72.47914,2578.22704,542.08,,,,176.655,123.14611000000001,,,12.351540000000002,457.90501,,1.4681199999999999,,209.43033,13.55916,,17.29091,,4715.315140000001
2015-03-01,512.73997,70.99835,2594.81919,548.08044,,,,172.45445,121.83273,,,12.46706,436.27279999999996,,0.6154400000000001,,210.1351,13.53173,,30.78352,,4746.003189999999
2015-04-01,570.40675,73.04665,2491.1078700000003,578.54712,,,,169.38915,124.02906,,,12.57887,569.8718299999999,,0.74787,,205.91514,12.64619,,33.0306,,4863.18502
2015-05-01,568.93055,72.97160000000001,2488.0294,601.65301,,,,166.23053,140.06117999999998,,,12.692450000000001,580.09402,,5.00518,,209.12133,12.07686,0.56875,34.297239999999995,,4913.29366
2015-06-01,557.84625,71.24828,2528.53203,618.3402600000001,,,,159.99689,143.08392999999998,,,12.804260000000001,567.77648,,0.216,,213.07835999999998,12.54746,1.19096,30.06816,,4937.68164
2015-07-01,510.45405,71.92863,2587.26915,679.95253,,,,165.33865,150.69769,,,12.91979,545.59104,,0.39148,,205.22812,12.59292,1.19103,13.43698,,4981.811000000001
2015-08-01,509.04690000000005,67.48886999999999,2706.8633,689.91945,,,,165.42067,152.00414999999998,,,12.375440000000001,460.17294,,0.57413,,205.09939000000003,12.76003,1.22167,20.0134,,5027.44574
2015-09-01,540.92093,64.57782,2776.50689,653.6780799999999,,,,160.52411999999998,148.31978,,,12.47259,475.11240999999995,,0.96924,,208.30944,13.83972,1.21627,27.385830000000002,,5103.79931
2015-10-01,514.28462,69.66172,2898.04971,528.76938,,,,162.03118,156.87783,,,11.55064,535.9083499999999,,0.65186,,209.87999,17.34676,1.28636,21.83329,,5149.65257
2015-11-01,505.71362,69.10700999999999,2959.1217,480.26131,,,,157.13973000000001,179.45908,,,12.69239,516.18695,,0.6455700000000001,,231.25368,13.43826,1.40123,58.71221,-38.02674,5166.470779999999
2015-12-01,517.75719,68.34979,3053.50672445111,461.6698855488896,,,,152.4396,183.00984,,,12.81544,561.0656,,0.12878,,230.33867,24.55111,1.35981,36.039339999999996,-20.87307,5302.87935
2016-01-01,445.88716999999997,63.78553,3057.21068,428.92142,,,,152.69570000000002,184.6179,,,12.93061,631.76747,,0.64246,,212.31811,16.12948,1.33784,26.379630000000002,0,5254.402830000001
2016-02-01,453.48478,63.33407,3111.53311,429.72548,,,,153.50698,182.28047,,,12.35317,616.0430600000001,,0,,206.56095000000002,18.37109,1.34267,22.86729,0,5291.28495
2016-03-01,469.95644,67.97002,3235.7609300000004,448.69333,,,,152.81548999999998,186.42113,,,12.46838,574.3452199999999,,2.69755,,212.26417,17.005209999999998,1.02321,59.29912,-2.12773,5460.7973
2016-04-01,467.92928,68.00552,3157.5715499999997,461.5947,,,,154.56198,186.22277,,,11.55209,582.21561,,2.94266,,209.77947,16.20018,1.24306,21.21935,,5359.059880000001
2016-05-01,529.9475799999999,69.76169999999999,3312.07018,475.63883000000004,,,,140.36709,186.13478,,,12.70563,564.44934,,6.02006,,211.11139,15.28933,1.26289,38.39131,,5581.809840000001
2016-06-01,561.4485400000001,99.49587,3379.22801,487.0804,,,,139.58768,269.81491,,,12.817129999999999,494.50910999999996,,1.83883,,212.83553,18.65802,1.62141,31.730220000000003,,5729.3161
2016-07-01,541.05318,117.74860000000001,3415.87699,566.70126,,,,137.76059,292.60196,,,11.87641,457.40092,,4.2308900000000005,,214.27248,19.39629,1.73998,21.339080000000003,,5820.648499999999
2016-08-01,521.34493,116.21064,3373.3257599999997,716.92963,,,,138.51377,294.84093,,,11.36161,442.72524,,4.41229,,212.36813,22.830569999999998,1.75272,30.03922,,5904.68431
2016-09-01,524.72638,85.49046000000001,3499.97471,683.91786,,,,137.78686,294.34616,,,12.48264,413.17633,,4.363989999999999,,214.85575,23.966009999999997,1.8278299999999998,45.86108,,5961.561139999999
2016-10-01,505.55604999999997,82.66285,3539.1531600000003,712.89027,6.897810000000001,,,135.47965,291.94205999999997,,,12.59786,400.10776,,4.55938,7.9015,210.56539999999998,23.94845,1.9425999999999999,49.07668,,5996.077610000001
2016-11-01,481.80574,82.34419,3535.62331,749.1337199999999,3.7953699999999997,,,126.26297,287.1105,,,12.70936,405.78722,,4.7538,8.10106,209.05823999999998,23.7055,2.1886300000000003,75.47588999999999,,6017.985879999999
2016-12-01,500.72199,84.19192,3669.19504,779.13475,3.0899099999999997,,,147.61713,248.99925,,,12.82457,395.18589000000003,,5.80417,9.44221,234.34932,19.001540000000002,2.0644899999999997,69.12278,-31.32532,6158.947839999999
2017-01-01,487.58716,86.53163,3574.70754,829.80309,71.26719,,,149.02803,291.74329,,,12.94013,409.48362,19.60437,25.9471,10.04645,213.11178,18.168020000000002,2.22555,44.067809999999994,,6255.8933400000005
